Date,,,Transaction Details,,Debit,Credit
03 August 2017,,,Service Fee,,2.00,
03 August 2017,,,Transfer ,,49.12,
02 August 2017,,,Service Fee,,2.00,
02 August 2017,,,payment,,,100.00
03 July 2017,,,Service Fee,,2.00,
03 July 2017,,,Transfer ,,49.12,
02 July 2017,,,Service Fee,,2.00,
02 July 2017,,,payment,,,100.00
03 June 2017,,,Service Fee,,2.00,
03 June 2017,,,Transfer ,,49.12,
02 June 2017,,,Service Fee,,2.00,
02 June 2017,,,payment,,,100.00
03 May 2017,,,Service Fee,,2.00,
03 May 2017,,,Transfer ,,49.12,
02 May 2017,,,Service Fee,,2.00,
02 May 2017,,,payment,,,100.00
03 April 2017,,,Service Fee,,2.00,
03 April 2017,,,Transfer ,,49.12,
02 April 2017,,,Service Fee,,2.00,
02 April 2017,,,payment,,,100.00
03 March 2017,,,Service Fee,,2.00,
03 March 2017,,,Transfer ,,49.12,
02 March 2017,,,Service Fee,,2.00,
02 March 2017,,,payment,,,100.00
